,Close price,Mean_10days,Std_10days,Var_10days,label_10days
315,0.572557,0.59554,0.046186,0.002133,medium
316,0.534252,0.59554,0.046186,0.002133,medium
317,0.540301,0.59554,0.046186,0.002133,medium
318,0.584654,0.59554,0.046186,0.002133,medium
319,0.564493,0.59554,0.046186,0.002133,medium
320,0.532236,0.582738,0.029734,0.000884,medium
321,0.549371,0.582738,0.029734,0.000884,medium
322,0.560461,0.582738,0.029734,0.000884,medium
323,0.578605,0.582738,0.029734,0.000884,medium
324,0.592718,0.582738,0.029734,0.000884,medium
325,0.612878,0.582738,0.029734,0.000884,medium
326,0.637071,0.582738,0.029734,0.000884,medium
327,0.602798,0.582738,0.029734,0.000884,medium
328,0.592718,0.582738,0.029734,0.000884,medium
329,0.568525,0.582738,0.029734,0.000884,medium
330,0.580621,0.582033,0.01272,0.000162,medium
331,0.594734,0.582033,0.01272,0.000162,medium
332,0.59675,0.582033,0.01272,0.000162,medium
333,0.582638,0.582033,0.01272,0.000162,medium
334,0.588686,0.582033,0.01272,0.000162,medium
335,0.59675,0.582033,0.01272,0.000162,medium
336,0.58667,0.582033,0.01272,0.000162,medium
337,0.568525,0.582033,0.01272,0.000162,medium
338,0.560461,0.582033,0.01272,0.000162,medium
339,0.564493,0.582033,0.01272,0.000162,medium
340,0.572557,0.511874,0.033194,0.001102,medium
341,0.572557,0.511874,0.033194,0.001102,medium
342,0.512076,0.511874,0.033194,0.001102,medium
343,0.508044,0.511874,0.033194,0.001102,medium
344,0.504012,0.511874,0.033194,0.001102,medium
345,0.51006,0.511874,0.033194,0.001102,medium
346,0.501996,0.511874,0.033194,0.001102,medium
347,0.491915,0.511874,0.033194,0.001102,medium
348,0.475787,0.511874,0.033194,0.001102,medium
349,0.469739,0.511874,0.033194,0.001102,medium
350,0.455627,0.440305,0.013944,0.000194,medium
351,0.449578,0.440305,0.013944,0.000194,medium
352,0.461675,0.440305,0.013944,0.000194,medium
353,0.449578,0.440305,0.013944,0.000194,medium
354,0.445546,0.440305,0.013944,0.000194,medium
355,0.441514,0.440305,0.013944,0.000194,medium
356,0.429418,0.440305,0.013944,0.000194,medium
357,0.417322,0.440305,0.013944,0.000194,medium
358,0.42337,0.440305,0.013944,0.000194,medium
359,0.429418,0.440305,0.013944,0.000194,medium
360,0.42337,0.524576,0.071652,0.005134,medium
